skills,
amazon web services,
ansible,
apache kafka,
apache mesos,
apache zookeeper,
aws cloudformation,
aws cloudwatch,
aws lambda,
azure,
chef,
circleci,
cloudflare,
docker,
gcp,
git,
github,
gitlab,
jenkins,
kubernetes,
logstash,
nginx,
prometheus,
puppet,
redis,
terraform,
travis ci,
